DateTime,actual_temperature,actual_humidity,actual_air_density,anomaly_true,modified_temperature,modified_humidity,modified_air_density,predicted_temperature,predicted_humidity,predicted_air_density,anomaly_detected,reconstruction_error
2009-03-04 12:10:00,8.93,59.82,1194.59,0,8.93,59.82,1194.59,,,,0.0,
2009-03-04 12:20:00,8.84,59.65,1194.8,0,8.84,59.65,1194.8,,,,0.0,
2009-03-04 12:30:00,9.0,58.96,1193.93,0,9.0,58.96,1193.93,,,,0.0,
2009-03-04 12:40:00,8.88,59.04,1194.26,0,8.88,59.04,1194.26,,,,0.0,
2009-03-04 12:50:00,8.98,59.02,1193.64,0,8.98,59.02,1193.64,,,,0.0,
2009-03-04 13:00:00,9.4,57.21,1191.62,0,9.4,57.21,1191.62,,,,0.0,
2009-03-04 13:10:00,9.39,56.97,1191.58,0,9.39,56.97,1191.58,,,,0.0,
2009-03-04 13:20:00,9.64,56.51,1190.36,0,9.64,56.51,1190.36,,,,0.0,
2009-03-04 13:30:00,9.86,55.66,1189.31,0,9.86,55.66,1189.31,,,,0.0,
2009-03-04 13:40:00,9.62,55.43,1190.13,0,9.62,55.43,1190.13,,,,0.0,
2009-03-04 13:50:00,9.38,56.83,1191.07,0,9.38,56.83,1191.07,,,,0.0,
2009-03-04 14:00:00,9.29,58.33,1191.27,0,9.29,58.33,1191.27,,,,0.0,
2009-03-04 14:10:00,9.33,57.94,1190.94,0,9.33,57.94,1190.94,,,,0.0,
2009-03-04 14:20:00,9.33,57.43,1190.73,0,9.33,57.43,1190.73,,,,0.0,
2009-03-04 14:30:00,9.48,57.7,1189.78,0,9.48,57.7,1189.78,,,,0.0,
2009-03-04 14:40:00,9.38,57.97,1189.93,0,9.38,57.97,1189.93,,,,0.0,
2009-03-04 14:50:00,9.48,57.93,1189.32,0,9.48,57.93,1189.32,,,,0.0,
2009-03-04 15:00:00,9.78,57.96,1187.74,0,9.78,57.96,1187.74,,,,0.0,
2009-03-04 15:10:00,10.07,57.11,1186.35,0,10.07,57.11,1186.35,,,,0.0,
2009-03-04 15:20:00,10.26,56.83,1185.34,0,10.26,56.83,1185.34,,,,0.0,
2009-03-04 15:30:00,9.93,57.69,1186.64,0,9.93,57.69,1186.64,,,,0.0,
2009-03-04 15:40:00,9.65,59.08,1187.68,0,9.65,59.08,1187.68,,,,0.0,
2009-03-04 15:50:00,9.6,58.89,1187.73,0,9.6,58.89,1187.73,,,,0.0,
2009-03-04 16:00:00,9.09,59.6,1189.73,0,9.09,59.6,1189.73,,,,0.0,
2009-03-04 16:10:00,8.76,60.32,1190.87,0,8.76,60.32,1190.87,,,,0.0,
2009-03-04 16:20:00,8.83,60.28,1190.37,0,8.83,60.28,1190.37,,,,0.0,
2009-03-04 16:30:00,8.85,60.5,1190.14,0,8.85,60.5,1190.14,,,,0.0,
2009-03-04 16:40:00,8.83,60.96,1190.1,0,8.83,60.96,1190.1,,,,0.0,
2009-03-04 16:50:00,8.72,61.71,1190.33,0,8.72,61.71,1190.33,,,,0.0,
2009-03-04 17:00:00,8.48,63.15,1191.14,0,8.48,63.15,1191.14,,,,0.0,
2009-03-04 17:10:00,8.01,62.61,1193.07,0,8.01,62.61,1193.07,8.23311710357666,63.566612243652344,1192.8408203125,0.0,0.00010570399899734184
2009-03-04 17:20:00,7.73,64.0,1194.14,0,7.73,64.0,1194.14,7.7728681564331055,63.11153793334961,1194.8935546875,0.0,8.429848094237968e-05
2009-03-04 17:30:00,7.55,64.9,1194.78,0,7.55,64.9,1194.78,7.531421661376953,64.42341613769531,1195.806884765625,0.0,3.13474411086645e-05
2009-03-04 17:40:00,7.36,65.99,1195.58,0,7.36,65.99,1195.58,7.374368667602539,65.27719116210938,1196.352294921875,0.0,5.5847576732048765e-05
2009-03-04 17:50:00,7.14,67.22,1196.49,0,7.14,67.22,1196.49,7.2097039222717285,66.3092269897461,1197.032958984375,0.0,8.695440919836983e-05
2009-03-04 18:00:00,6.84,68.88,1197.67,0,6.84,68.88,1197.67,7.015506744384766,67.48066711425781,1197.8165283203125,0.0,0.00020506333385128528
2009-03-04 18:10:00,6.53,70.1,1198.93,0,6.53,70.1,1198.93,6.7462239265441895,69.07341003417969,1198.8406982421875,0.0,0.00011846355482703075
2009-03-04 18:20:00,6.28,70.8,1199.98,0,6.28,70.8,1199.98,6.457052230834961,70.25907135009766,1200.0162353515625,0.0,3.7830850487807766e-05
2009-03-04 18:30:00,6.12,71.4,1200.8,0,6.12,71.4,1200.8,6.218639850616455,70.948486328125,1201.0355224609375,0.0,2.3532425984740257e-05
2009-03-04 18:40:00,5.91,72.4,1201.66,0,5.91,72.4,1201.66,6.067414283752441,71.53556060791016,1201.8184814453125,0.0,8.189804066205397e-05
2009-03-04 18:50:00,5.74,72.7,1202.3,0,5.74,72.7,1202.3,5.868758678436279,72.51469421386719,1202.621826171875,0.0,8.742464160604868e-06
2009-03-04 19:00:00,5.58,73.3,1203.03,0,5.58,73.3,1203.03,5.702236175537109,72.81896209716797,1203.2679443359375,0.0,2.7710739232134074e-05
2009-03-04 19:10:00,5.5,73.6,1203.3,0,5.5,73.6,1203.3,5.5477752685546875,73.40784454345703,1203.9677734375,0.0,7.894202099123504e-06
2009-03-04 19:20:00,5.42,73.9,1203.62,0,5.42,73.9,1203.62,5.470233917236328,73.70313262939453,1204.225830078125,0.0,7.511981038987869e-06
