DateTime,actual_temperature,actual_humidity,actual_air_density,anomaly_true,modified_temperature,modified_humidity,modified_air_density,predicted_temperature,predicted_humidity,predicted_air_density,anomaly_detected,reconstruction_error
2009-03-04 12:10:00,8.93,59.82,1194.59,0,8.93,59.82,1194.59,,,,0.0,
2009-03-04 12:20:00,8.84,59.65,1194.8,0,8.84,59.65,1194.8,,,,0.0,
2009-03-04 12:30:00,9.0,58.96,1193.93,0,9.0,58.96,1193.93,,,,0.0,
2009-03-04 12:40:00,8.88,59.04,1194.26,0,8.88,59.04,1194.26,,,,0.0,
2009-03-04 12:50:00,8.98,59.02,1193.64,0,8.98,59.02,1193.64,,,,0.0,
2009-03-04 13:00:00,9.4,57.21,1191.62,0,9.4,57.21,1191.62,,,,0.0,
2009-03-04 13:10:00,9.39,56.97,1191.58,0,9.39,56.97,1191.58,,,,0.0,
2009-03-04 13:20:00,9.64,56.51,1190.36,0,9.64,56.51,1190.36,,,,0.0,
2009-03-04 13:30:00,9.86,55.66,1189.31,0,9.86,55.66,1189.31,,,,0.0,
2009-03-04 13:40:00,9.62,55.43,1190.13,0,9.62,55.43,1190.13,,,,0.0,
2009-03-04 13:50:00,9.38,56.83,1191.07,0,9.38,56.83,1191.07,,,,0.0,
2009-03-04 14:00:00,9.29,58.33,1191.27,0,9.29,58.33,1191.27,,,,0.0,
2009-03-04 14:10:00,9.33,57.94,1190.94,0,9.33,57.94,1190.94,,,,0.0,
2009-03-04 14:20:00,9.33,57.43,1190.73,0,9.33,57.43,1190.73,,,,0.0,
2009-03-04 14:30:00,9.48,57.7,1189.78,0,9.48,57.7,1189.78,,,,0.0,
2009-03-04 14:40:00,9.38,57.97,1189.93,0,9.38,57.97,1189.93,,,,0.0,
2009-03-04 14:50:00,9.48,57.93,1189.32,0,9.48,57.93,1189.32,,,,0.0,
2009-03-04 15:00:00,9.78,57.96,1187.74,0,9.78,57.96,1187.74,,,,0.0,
2009-03-04 15:10:00,10.07,57.11,1186.35,0,10.07,57.11,1186.35,,,,0.0,
2009-03-04 15:20:00,10.26,56.83,1185.34,0,10.26,56.83,1185.34,,,,0.0,
2009-03-04 15:30:00,9.93,57.69,1186.64,0,9.93,57.69,1186.64,,,,0.0,
2009-03-04 15:40:00,9.65,59.08,1187.68,0,9.65,59.08,1187.68,,,,0.0,
2009-03-04 15:50:00,9.6,58.89,1187.73,0,9.6,58.89,1187.73,,,,0.0,
2009-03-04 16:00:00,9.09,59.6,1189.73,0,9.09,59.6,1189.73,,,,0.0,
2009-03-04 16:10:00,8.76,60.32,1190.87,0,8.76,60.32,1190.87,,,,0.0,
2009-03-04 16:20:00,8.83,60.28,1190.37,0,8.83,60.28,1190.37,,,,0.0,
2009-03-04 16:30:00,8.85,60.5,1190.14,0,8.85,60.5,1190.14,,,,0.0,
2009-03-04 16:40:00,8.83,60.96,1190.1,0,8.83,60.96,1190.1,,,,0.0,
2009-03-04 16:50:00,8.72,61.71,1190.33,0,8.72,61.71,1190.33,,,,0.0,
2009-03-04 17:00:00,8.48,63.15,1191.14,0,8.48,63.15,1191.14,,,,0.0,
2009-03-04 17:10:00,8.01,62.61,1193.07,0,8.01,62.61,1193.07,8.248760223388672,63.889225006103516,1192.2811279296875,0.0,0.00018463491869624704
2009-03-04 17:20:00,7.73,64.0,1194.14,0,7.73,64.0,1194.14,7.832671642303467,63.245052337646484,1193.964111328125,0.0,6.030893200659193e-05
2009-03-04 17:30:00,7.55,64.9,1194.78,0,7.55,64.9,1194.78,7.551709175109863,64.74575805664062,1195.2908935546875,0.0,4.481137693801429e-06
2009-03-04 17:40:00,7.36,65.99,1195.58,0,7.36,65.99,1195.58,7.384276866912842,65.57080841064453,1195.7803955078125,0.0,1.81230188900372e-05
2009-03-04 17:50:00,7.14,67.22,1196.49,0,7.14,67.22,1196.49,7.192151069641113,66.6579818725586,1196.5384521484375,0.0,3.246474443585612e-05
2009-03-04 18:00:00,6.84,68.88,1197.67,0,6.84,68.88,1197.67,6.976653575897217,67.88883972167969,1197.42236328125,0.0,0.00010415131691843271
2009-03-04 18:10:00,6.53,70.1,1198.93,0,6.53,70.1,1198.93,6.679874420166016,69.6047592163086,1198.6610107421875,0.0,3.125379225821234e-05
2009-03-04 18:20:00,6.28,70.8,1199.98,0,6.28,70.8,1199.98,6.391213893890381,70.77462005615234,1199.82080078125,0.0,3.599024921641103e-06
2009-03-04 18:30:00,6.12,71.4,1200.8,0,6.12,71.4,1200.8,6.166314125061035,71.3736801147461,1200.7381591796875,0.0,6.778973897780816e-07
2009-03-04 18:40:00,5.91,72.4,1201.66,0,5.91,72.4,1201.66,6.016551971435547,71.8936996459961,1201.4569091796875,0.0,2.9124823413440026e-05
2009-03-04 18:50:00,5.74,72.7,1202.3,0,5.74,72.7,1202.3,5.807831764221191,72.91846466064453,1202.37255859375,0.0,6.0733423197234515e-06
2009-03-04 19:00:00,5.58,73.3,1203.03,0,5.58,73.3,1203.03,5.664129257202148,73.10731506347656,1202.8670654296875,0.0,5.846442491019843e-06
2009-03-04 19:10:00,5.5,73.6,1203.3,0,5.5,73.6,1203.3,5.503058910369873,73.71100616455078,1203.6082763671875,0.0,2.0011163996969117e-06
